材料名稱,獲得來源,RG等級／列管,儲藏地點,儲藏起始時間
Acinetobacter baumannii,研檢中心,2,血清銀行,2010-至今
Adenovirus,合約實驗室,2,血清銀行,2003-至今
Bordetella  pertussis,研檢中心,2,血清銀行,2010-至今
Citrobacter freundii,研檢中心,2,血清銀行,2010-至今
Clostridium difficile,研檢中心,2,血清銀行,2010-至今
Cytomegalovirus (CMV),合約實驗室,2,血清銀行,2003-至今
Enterobacter aerogenes,研檢中心,2,血清銀行,2010-至今
Enterobacter cloacae,研檢中心,2,血清銀行,2010-至今
Enterovirus,合約實驗室,2,血清銀行,2003-至今
Escherichia coli,研檢中心,2,血清銀行,2010-至今
Haemophilus infuenzae,研檢中心,2,血清銀行,2010-至今
Herpes simplex viruses,合約實驗室,2,血清銀行,2003-至今
Human metapneumovirus,合約實驗室,2,血清銀行,2003-至今
"Influenza virus type A, B",合約實驗室,2,血清銀行,2003-至今
Klebsiella pneumoniae,研檢中心,2,血清銀行,2010-至今
Legionella pneumophila,研檢中心,2,血清銀行,2010-至今
Morganella morganii,研檢中心,2,血清銀行,2010-至今
Neisseria meningitidis,研檢中心,2,血清銀行,2010-至今
Parainfluenza virus,合約實驗室,2,血清銀行,2003-至今
Proteus mirabilis,研檢中心,2,血清銀行,2010-至今
Respiratory syncytial virus,合約實驗室,2,血清銀行,2003-至今
Salmonella paratyph A,研檢中心,2,血清銀行,2010-至今
Salmonella species,研檢中心,2,血清銀行,2010-至今
Salmonella typhi,研檢中心,2,血清銀行,2010-至今
Salmonella typhimurium,研檢中心,2,血清銀行,2010-至今
Serratia marcescens,研檢中心,2,血清銀行,2010-至今
Shigella boydii,研檢中心,2,血清銀行,2010-至今
Shigella flexneri,研檢中心,2,血清銀行,2010-至今
Shigella sonnei,研檢中心,2,血清銀行,2010-至今
Staphylococcus aureus,研檢中心,2,血清銀行,2010-至今
Streptococcus pneumoniae,研檢中心,2,血清銀行,2010-至今
Vibrio cholerae,研檢中心,2,血清銀行,2010-至今
